Station,Field Asset Name,X,Y,Z,Customer Name,Site
SDPR00USA,00871-01:2054,-803895.2434,-4532015.848,4401288.965,Swift,CONUS 1.0MidwestSDUSA001814
SDRC00USA,00871-01:1018828006,-1050624.037,-4468021.506,4415284.983,Swift,CONUS 1.0NorthwestSDUSA001815
SDRS00USA,00871-01:2007,-998748.116,-4441634.287,4453373.239,Swift,CONUS 1.0NorthwestSDUSA001816
SDWT00USA,00871-01:1965,-560245.0814,-4490991.381,4479853.548,Swift,CONUS 1.0NorthwestSDUSA001817
TNAC00USA,00871-01:2072,543776.4473,-5150917.733,3709901.143,Swift,CONUS 1.0SouthEastTNUSA001818
TNAM00USA,00871-01:2193039,79816.1212,-5179465.419,3708889.118,Swift,CONUS 1.0SoutheastTNUSA001819
TNBR00USA,00871-01:1018828058,288529.3093,-5160564.91,3724931.337,Swift,CONUS 1.0SoutheastTNUSA001820
TNME00USA,00871-01:2079,14605.2043,-5227168.814,3642603.949,Swift,CONUS 1.0SoutheastTNUSA001821
TXAM00USA,00871-01:1018828063,-1072890.84,-5106380.048,3657627.327,Swift,CONUS 1.0South CentralTXUSA001822
TXAT00USA,00871-01:1018828028,-551055.8816,-5373879.563,3379810.337,Swift,CONUS 1.0South CentralTXUSA001823
TXCC00USA,00871-01:1018828026,-728480.7009,-5599075.597,2956556.492,Swift,CONUS 1.0South CentralTXUSA001824
TXDL00USA,00871-01:2193045,-1051510.111,-5462363.434,3110660.895,Swift,CONUS 1.0South CentralTX 78840USA001825
TXEP00USA,00871-01:1018828069,-1526213.129,-5215575.545,3329917.444,Swift,CONUS 1.0South CentralTXUSA001826
TXFL00USA,00871-01:1018828061,-791327.8402,-5519282.349,3086927.565,Swift,CONUS 1.0South CentralTXUSA001827
TXFR00USA,00871-01:2039,-641235.4921,-5307022.223,3467842.585,Swift,CONUS 1.0South CentralTXUSA001828
TXGV00USA,00871-01:2193016,-464958.9884,-5547253.16,3102799.961,Swift,CONUS 1.0South CentralTXUSA001922
TXKL00USA,00871-01:1018828065,-736018.7239,-5415528.985,3277426.821,Swift,CONUS 1.0South CentralTXUSA001829
TXLB00USA,00871-01:2193007,-1094110.813,-5204643.774,3510615.71,Swift,CONUS 1.0South CentralTXUSA001830
TXLD00USA,00871-01:1018828030,-931512.8551,-5581312.268,2933521.304,Swift,CONUS 1.0South CentralTXUSA001831
TXMF00USA,00871-01:2193010,-1334558.284,-5348226.051,3200802.275,Swift,CONUS 1.0South CentralTXUSA001832
